Mois;UIC;Nom gare;Nombre de non-conformités;Nombre d'observations;Taux de conformité
2017-01;0087113001;Paris Est;38;598;93.65
2017-01;0087271007;Paris Gare du Nord;120;1236;90.29
2017-01;0087313874;Amiens;30;590;94.92
2017-01;0087318964;Avignon TGV;18;524;96.56
2017-01;0087345025;Lens;55;665;91.73
2017-01;0087387001;Évreux Normandie;20;315;93.65
2017-01;0087391003;Paris Montparnasse Hall 1 & 2;101;1871;94.6
2017-01;0087393702;Massy TGV;9;577;98.44
2017-01;0087474007;Brest;14;332;95.78
2017-01;0087478404;Laval;11;243;95.47
2017-01;0087481705;Saint-Nazaire;17;356;95.22
2017-01;0087485003;La Rochelle;25;509;95.09
2017-01;0087485300;Niort;17;396;95.71
2017-01;0087571000;Tours;48;592;91.89
2017-01;0087571216;Vendôme - Villiers-sur-Loir;15;420;96.43
2017-01;0087584052;Libourne;18;300;94.0
2017-01;0087611004;Toulouse Matabiau;10;624;98.4
2017-01;0087615286;Carcassonne;10;429;97.67
2017-01;0087672006;Pau;9;346;97.4
2017-01;0087713040;Dijon;57;808;92.95
2017-01;0087718007;Besançon Viotte;38;634;94.01
2017-01;0087723197;Lyon Part Dieu;48;736;93.48
2017-01;0087732008;Vichy;11;351;96.87
2017-01;0087745000;Bellegarde;42;402;89.55
2017-01;0087757674;Antibes;76;719;89.43
2017-01;0087764001;Montélimar;25;298;91.61
2018-01;0087113001;Paris Est;47;593;92.07
2018-01;0087171926;Champagne-Ardenne TGV;33;531;93.79
2018-01;0087281071;Calais - Fréthun;19;543;96.5
2018-01;0087286005;Lille Flandres;24;566;95.76
2018-01;0087300863;Besançon Franche-Comté TGV;10;231;95.67
2018-01;0087342014;Arras;41;733;94.41
2018-01;0087473009;Saint-Brieuc;25;335;92.54
2018-01;0087478404;Laval;21;425;95.06
2018-01;0087481002;Nantes;43;591;92.72
2018-01;0087484006;Angers Saint-Laud;60;807;92.57
2018-01;0087486019;La Roche-sur-Yon;6;300;98.0
2018-01;0087576009;Vierzon;7;312;97.76
2018-01;0087576207;Bourges;5;298;98.32
2018-01;0087586008;Agen;5;321;98.44
2018-01;0087611004;Toulouse Matabiau;14;657;97.87
2018-01;0087673004;Bayonne;5;278;98.2
2018-01;0087673202;Dax;19;345;94.49
2018-01;0087673400;Biarritz;12;377;96.82
2018-01;0087745000;Bellegarde;21;403;94.79
2018-01;0087746008;Annecy;31;388;92.01
2018-01;0087757674;Antibes;75;702;89.32
2018-01;0087762906;Lyon Saint-Exupéry TGV;42;488;91.39
2018-01;0087773002;Montpellier Saint-Roch;89;693;87.16
2018-01;0087784009;Perpignan;23;574;95.99
2019-01;0087141002;Nancy;42;619;93.21
2019-01;0087147322;Meuse TGV;12;368;96.74
2019-01;0087212027;Strasbourg;42;621;93.24
2019-01;0087271007;Paris Gare du Nord;112;1460;92.33
2019-01;0087313882;TGV Haute Picardie;28;633;95.58
2019-01;0087319012;Aix-en-Provence TGV;111;807;86.25
2019-01;0087387001;Évreux Normandie;45;267;83.15
2019-01;0087444877;Cherbourg;15;330;95.45
2019-01;0087481002;Nantes;45;600;92.5
2019-01;0087485003;La Rochelle;20;477;95.81
2019-01;0087547000;Paris Austerlitz;62;930;93.33
2019-01;0087571216;Vendôme - Villiers-sur-Loir;44;421;89.55
2019-01;0087581009;Bordeaux Saint-Jean;43;690;93.77
2019-01;0087615286;Carcassonne;28;301;90.7
2019-01;0087725705;Mâcon Loché TGV;12;395;96.96
2019-01;0087732008;Vichy;16;281;94.31
2019-01;0087747006;Grenoble;45;590;92.37
2019-01;0087757625;Cannes;106;857;87.63
2019-01;0087773200;Sète;31;391;92.07
2019-01;0087775007;Nîmes;22;725;96.97
2019-01;0087781005;Béziers;19;394;95.18
2020-01;0087141002;Nancy;37;643;94.25
2020-01;0087171009;Reims;12;694;98.27
2020-01;0087182014;Colmar;18;241;92.53
2020-01;0087182063;Mulhouse;11;343;96.79
2020-01;0087271007;Paris Gare du Nord;105;1455;92.78
2020-01;0087276691;Compiègne;10;223;95.52
2020-01;0087281006;Dunkerque;12;199;93.97
2020-01;0087281071;Calais - Fréthun;10;436;97.71
2020-01;0087300822;Belfort - Montbéliard TGV;19;333;94.29
2020-01;0087342014;Arras;6;84;92.86
2020-01;0087384008;Paris Saint-Lazare;45;673;93.31
2020-01;0087396002;Le Mans;63;658;90.43
2020-01;0087471003;Rennes;8;261;96.93
2020-01;0087473009;Saint-Brieuc;23;282;91.84
2020-01;0087476200;Auray;11;282;96.1
2020-01;0087478107;Saint-Malo;7;206;96.6
2020-01;0087543017;Les Aubrais;17;275;93.82
2020-01;0087575142;Châtellerault;13;235;94.47
2020-01;0087592006;Limoges Bénédictins;12;344;96.51
2020-01;0087673004;Bayonne;8;285;97.19
2020-01;0087725705;Mâcon Loché TGV;14;325;95.69
2020-01;0087734004;Clermont-Ferrand;28;386;92.75
2020-01;0087751008;Marseille Saint-Charles;44;671;93.44
2020-01;0087757674;Antibes;121;934;87.04
2020-01;0087763029;Valence TGV Rhône-Alpes Sud;70;743;90.58
2021-01;0087118000;Troyes;9;421;97.86
2021-01;0087171009;Reims;27;575;95.3
2021-01;0087212027;Strasbourg;19;686;97.23
2021-01;0087281071;Calais - Fréthun;12;510;97.65
2021-01;0087342014;Arras;48;756;93.65
2021-01;0087476606;Vannes;10;370;97.3
2021-01;0087481705;Saint-Nazaire;14;321;95.64
2021-01;0087575001;Poitiers;29;583;95.03
